Table A3.1.,,,,,,,,,,,,,,,,,,,,,,
"Employment rates of 25-64 year-olds, by educational attainment (2020)",,,,,,,,,,,,,,,,,,,,,,
Percentage of employed 25-64 year-olds among all 25-64 year-olds,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Notes,Below upper secondary,,Upper secondary or post-secondary non-tertiary,,,,,,Tertiary,,,,,,,,,,All levels of education,,
,,,,Upper secondary,,Post-secondary non-tertiary,,Total,,Short-cycle tertiary,,Bachelor's or equivalent,,Master's or equivalent,,Doctoral or equivalent,,Total,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,(1),,(2),,(3),,(4),,(5),,(6),,(7),,(8),,(9),,(10),,
OECD,,,,,,,,,,,,,,,,,,,,,,
Australia,,56,,73,,81,,74,,77,,82,,82,,93,,81,,75,,
Austria,,54,,76,,82,,76,,85,,80,,89,,92,,86,,76,,
Belgium,,47,,73,,86,,73,,83,,85,,88,,93,,86,,73,,
Canada,,54,,67,,77,,70,,77,,80,,83,d,,x(7),79,,75,,
Chile,1,62,,72,,,a,72,,81,,85,,93,d,,x(7),84,,72,,
Colombia,,62,,66,d,,x(2),66,,,x(6),74,d,,x(6),,x(6),74,,66,,
Costa Rica,,57,,64,,,c,64,,65,,79,,90,,,c,77,,63,,
Czech Republic,,57,,84,d,,x(2),84,,96,,82,,86,,94,,86,,82,,
Denmark,1,61,,82,,87,,82,,87,,85,,91,,94,,88,,80,,
Estonia,,63,,80,,79,,79,,84,,83,,87,,85,,85,,80,,
Finland,,54,,74,,98,,75,,83,,86,,89,,98,,87,,79,,
France,,53,,72,,62,,72,,83,,84,,88,,90,,85,,74,,
Germany,,63,,81,,87,,82,,89,,88,,90,,93,,89,,81,,
Greece,,52,,61,,66,,62,,67,,74,,81,,91,,75,,64,,
Hungary,,56,,79,,84,,79,,84,,84,,88,,92,,86,,78,,
Iceland,,70,,81,,85,,81,,83,,84,,92,,93,,88,,81,,
Ireland,,52,,69,,75,,72,,78,,85,,87,,92,,85,,75,,
Israel,,49,,71,,,a,71,,83,,86,,91,,92,,87,,76,,
Italy,,52,,70,,75,,70,,79,,74,,83,,94,,81,,66,,
Japan,"1,2",,x(2),81,d,,x(5),,m,82,d,89,d,,x(6),,x(6),86,d,84,,
Korea,,61,,70,,,a,70,,76,,76,,85,d,,x(7),77,,73,,
Latvia,,65,,75,,76,,76,,87,,85,,88,,96,,87,,79,,
Lithuania,,54,,72,,75,,73,,,a,89,,91,,99,,90,,79,,
Luxembourg,,61,,75,,77,,75,,79,,81,,87,,92,,85,,76,,
Mexico,,63,,68,,,a,68,,71,,76,,83,,92,,76,,66,,
Netherlands,,63,,82,,85,,82,,89,,88,,92,,94,,90,,82,,
New Zealand,,71,,80,,85,,82,,89,,88,,87,,92,,88,,82,,
Norway,,61,,79,,85,,79,,83,,90,,92,,90,,89,,81,,
Poland,,47,,72,,72,,72,,75,,87,,90,,97,,89,,76,,
Portugal,,70,,82,,80,,82,,,c,83,,90,,92,,88,,78,,
Slovak Republic,,36,,77,,81,,77,,91,,73,,84,,89,,83,,75,,
Slovenia,,48,,76,,,a,76,,85,,89,,92,,94,,90,,78,,
Spain,,56,,69,,64,,69,,77,,79,,83,,90,,80,,69,,
Sweden,,63,,86,,82,,85,,84,,89,,93,,91,,89,,83,,
Switzerland,,69,,81,d,,x(2),81,,,"x(6,7,8)",89,d,89,d,93,d,89,,83,,
Turkey,1,50,,60,,,a,60,,65,,75,,84,,92,,74,,57,,
United Kingdom,3,64,,80,,,a,80,,82,,87,,87,,93,,86,,80,,
United States,,55,,69,d,,x(2),69,,78,,82,,85,,89,,82,,74,,
,,,,,,,,,,,,,,,,,,,,,,
OECD average,,58,,74,,79,,75,,81,,83,,88,,93,,84,,76,,
EU22 average,,56,,76,,79,,76,,83,,83,,88,,93,,86,,77,,
,,,,,,,,,,,,,,,,,,,,,,
Partners,,,,,,,,,,,,,,,,,,,,,,
Argentina,1,64,,74,,,a,74,,79,,82,,94,,,m,81,,73,,
Brazil,1,52,,66,,,a,66,,,x(6),79,d,84,,87,,79,,63,,
China,,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
India,1,57,,61,,75,,63,,,x(6),61,d,,x(6),64,,62,,59,,
Indonesia,,73,,74,d,,x(2),74,,76,,85,,83,,95,,82,,75,,
Russian Federation,1,54,,69,,77,,73,,79,,88,,87,,63,,83,,78,,
Saudi Arabia,1,62,,61,,82,,65,,,x(6),74,d,,x(6),,x(6),74,,66,,
South Africa,,40,,53,,,m,53,,67,,,m,,m,,x(7),73,,,m,
,,,,,,,,,,,,,,,,,,,,,,
G20 average,,57,,70,,,m,70,,,m,80,,,m,,m,79,,70,,
