,Country,Tertiary
1,Korea, 70 
2,Russian Federation, 62 
3,Slovenia, 44 
4,Poland, 43 
5,Canada, 63 
6,Switzerland, 53 
7,Lithuania, 55 
8,Czech Republic, 33 
9,United States, 50 
10,Israel, 47 
11,Finland, 42 
12,Slovak Republic, 39 
13,Ireland, 70 
14,Australia, 52 
15,Austria, 42 
16,Latvia, 44 
17,Estonia, 43 
20,France, 48 
18,Netherlands, 49 
19,Greece, 42 
21,Hungary, 31 
22,Germany, 33 
23,EU23 average, 44 
24,Luxembourg, 55 
25,New Zealand, 44 
26,United Kingdom, 52 
27,Belgium, 47 
28,Chile, 34 
29,OECD average, 45 
30,Sweden, 48 
31,Norway, 49 
32,Denmark, 47 
33,South Africa, 6 
34,Iceland, 47 
35,Italy, 28 
36,Portugal, 37 
37,Colombia, 30 
38,Argentina, 40 
39,Spain, 47 
40,Brazil, 21 
41,Turkey, 35 
42,Costa Rica, 31 
43,Mexico, 24 
44,Indonesia, 16 
45,India, 14 
46,China, 18 
